symbol,MACD_Bullish,RSI_Oversold_Reversal,Volume_Surge,sector,undervalued,ema_bullish,bb_squeeze,rs_vs_proxy,avg_dollar_vol,passes_liquidity,drop_rebound_5%_success_rate,drop_rebound_10%_success_rate,events_10,drop_rebound_15%_success_rate,drop_rebound_20%_success_rate,events_20,drop_rebound_25%_success_rate,drop_rebound_30%_success_rate,events_25,events_30,q_demand_date,q_demand_proximal,q_demand_distal,q_demand_width,q_demand_delta,q_demand_distance,q_demand_distance_pct,q_demand_near,q_supply_date,q_supply_proximal,q_supply_distal,q_supply_width,q_supply_delta,q_supply_distance,q_supply_distance_pct,q_supply_near,score,label
NUKZ,False,False,False,NuclearETF,False,True,False,False,112129.62107499999,False,66.67,60.0,10,50.0,33.33,3,50.0,100.0,2,1,2025-06-30,56.56,32.7,23.86,8.469999999999999,8.469999999999999,14.975247524752472,False,,,,,,,,,1,⚠️ WEAK
PPA,True,False,False,DefenseETF,False,True,False,False,196049.306045,False,43.75,100.0,1,0.0,0.0,0,0.0,0.0,0,0,2025-06-30,141.26,99.97,41.28999999999999,11.29000000000002,11.29000000000002,7.992354523573568,False,,,,,,,,,2,⚠️ WEAK
PXH,False,False,False,EmergingMarketsETF,False,True,False,False,42371.03892,False,16.0,0.0,3,100.0,0.0,0,0.0,0.0,0,0,2025-06-30,23.04,18.21,4.829999999999998,2.1000000000000014,2.1000000000000014,9.11458333333334,False,,,,,,,,,1,⚠️ WEAK
QTUM,False,False,False,AIETF,False,True,False,False,317998.675985,False,51.61,53.85,13,50.0,100.0,1,0.0,0.0,0,0,2025-06-30,91.6,62.37,29.229999999999997,13.010000000000005,13.010000000000005,14.203056768558959,False,,,,,,,,,1,⚠️ WEAK
SHLD,True,False,False,DefenseETF,False,True,False,False,827101.94992,False,33.33,50.0,2,0.0,0.0,0,0.0,0.0,0,0,2023-12-31,27.65,23.46,4.189999999999998,40.57,40.57,146.7269439421338,False,,,,,,,,,2,⚠️ WEAK
SLV,True,False,False,SilverETF,False,True,False,False,9491632.048785,True,52.27,50.0,18,60.0,0.0,0,0.0,0.0,0,0,2025-06-30,32.81,26.57,6.240000000000002,9.049999999999997,9.049999999999997,27.58305394696738,False,,,,,,,,,2,⚠️ WEAK
WGMI,False,False,False,CryptoMiningETF,False,True,False,True,193828.90941000002,False,87.3,84.62,52,82.93,81.82,33,77.78,76.19,27,21,2025-06-30,22.74,11.09,11.649999999999999,17.87,17.87,78.5839929639402,False,,,,,,,,,3,⚠️ WEAK
XOVR,False,False,False,DisruptiveETF,False,True,False,False,35653.23969,False,56.67,63.64,11,66.67,0.0,1,100.0,0.0,1,0,2025-06-30,19.09,13.92,5.17,1.7399999999999984,1.7399999999999984,9.114719748559446,False,,,,,,,,,1,⚠️ WEAK
STCE,False,False,False,BitcoinETF,False,True,False,True,47856.94408,False,75.86,76.92,39,72.41,70.83,24,63.64,100.0,11,3,2025-06-30,50.05,28.04,22.009999999999998,23.060000000000002,23.060000000000002,46.07392607392608,False,,,,,,,,,2,⚠️ WEAK
COIN,False,False,False,Bitcoin,False,True,False,False,14618674.826815,True,89.06,85.45,55,80.0,76.32,38,76.67,83.33,30,18,2024-09-30,226.0,146.12,79.88,86.58999999999997,86.58999999999997,38.314159292035384,False,,,,,,,,,2,⚠️ WEAK
